Time (s),Red,IR
7.120,31191.0,112545.0
7.130,31178.0,112503.0
7.140,31179.0,112545.0
7.150,31193.0,112583.0
7.160,31195.0,112631.0
7.170,31202.0,112634.0
7.180,31204.0,112583.0
7.190,31204.0,112572.0
7.200,31224.0,112586.0
7.210,31225.0,112630.0
7.220,31230.0,112667.0
7.230,31236.0,112724.0
7.240,31242.0,112776.0
7.250,31248.0,112750.0
7.260,31220.0,112533.0
7.270,31172.0,112349.0
7.280,31164.0,112332.0
7.290,31159.0,112346.0
7.300,31144.0,112400.0
7.310,31163.0,112435.0
7.320,31179.0,112455.0
7.330,31187.0,112437.0
7.340,31176.0,112418.0
7.350,31162.0,112439.0
7.360,31176.0,112474.0
7.370,31184.0,112519.0
7.380,31181.0,112557.0
7.390,31188.0,112622.0
7.400,31191.0,112644.0
7.410,31172.0,112484.0
7.420,31142.0,112265.0
7.430,31126.0,112163.0
7.440,31122.0,112152.0
7.450,31154.0,112203.0
7.460,31165.0,112249.0
7.470,31159.0,112296.0
7.480,31164.0,112297.0
7.490,31170.0,112277.0
7.500,31168.0,112281.0
7.510,31162.0,112345.0
7.520,31170.0,112371.0
7.530,31179.0,112416.0
7.540,31193.0,112466.0
7.550,31187.0,112514.0
7.560,31204.0,112497.0
7.570,31194.0,112289.0
7.580,31163.0,112102.0
7.590,31143.0,112042.0
7.600,31145.0,112067.0
7.610,31166.0,112110.0
7.620,31149.0,112149.0
7.630,31160.0,112169.0
7.640,31155.0,112171.0
7.650,31157.0,112177.0
7.660,31168.0,112196.0
7.670,31177.0,112246.0
7.680,31192.0,112297.0
7.690,31207.0,112368.0
7.700,31227.0,112419.0
7.710,31237.0,112512.0
7.720,31250.0,112549.0
7.730,31231.0,112361.0
7.740,31191.0,112155.0
7.750,31189.0,112097.0
7.760,31184.0,112137.0
7.770,31177.0,112181.0
7.780,31184.0,112246.0
7.790,31181.0,112291.0
7.800,31176.0,112298.0
7.810,31171.0,112292.0
7.820,31197.0,112313.0
7.830,31210.0,112381.0
7.840,31213.0,112427.0
7.850,31222.0,112487.0
7.860,31225.0,112543.0
7.870,31245.0,112619.0
7.880,31238.0,112506.0
7.890,31214.0,112303.0
7.900,31182.0,112228.0
7.910,31192.0,112250.0
7.920,31191.0,112321.0
7.930,31184.0,112388.0
7.940,31202.0,112457.0
7.950,31225.0,112436.0
7.960,31220.0,112441.0
7.970,31224.0,112479.0
7.980,31231.0,112534.0
7.990,31248.0,112615.0
8.000,31246.0,112658.0
8.010,31259.0,112721.0
8.020,31275.0,112770.0
8.030,31267.0,112681.0
8.040,31255.0,112449.0
8.050,31216.0,112341.0
8.060,31222.0,112361.0
8.070,31232.0,112402.0
8.080,31245.0,112459.0
8.090,31250.0,112530.0
8.100,31263.0,112520.0
8.110,31252.0,112515.0
8.120,31251.0,112513.0
8.130,31250.0,112566.0
8.140,31256.0,112607.0
8.150,31264.0,112644.0
8.160,31275.0,112704.0
8.170,31283.0,112767.0
8.180,31298.0,112749.0
8.190,31283.0,112529.0
8.200,31257.0,112321.0
8.210,31260.0,112290.0
8.220,31271.0,112320.0
8.230,31262.0,112373.0
8.240,31270.0,112420.0
8.250,31274.0,112472.0
8.260,31265.0,112461.0
8.270,31276.0,112469.0
8.280,31265.0,112499.0
8.290,31266.0,112526.0
8.300,31254.0,112578.0
8.310,31259.0,112634.0
8.320,31270.0,112688.0
8.330,31278.0,112752.0
8.340,31292.0,112593.0
8.350,31255.0,112380.0
8.360,31233.0,112291.0
8.370,31243.0,112324.0
8.380,31246.0,112391.0
8.390,31247.0,112439.0
8.400,31257.0,112476.0
8.410,31246.0,112477.0
8.420,31247.0,112453.0
8.430,31250.0,112473.0
8.440,31227.0,112508.0
8.450,31231.0,112569.0
8.460,31239.0,112635.0
8.470,31273.0,112663.0
8.480,31283.0,112746.0
8.490,31284.0,112662.0
8.500,31270.0,112425.0
8.510,31251.0,112340.0
8.520,31236.0,112355.0
8.530,31262.0,112457.0
8.540,31261.0,112532.0
8.550,31271.0,112584.0
8.560,31257.0,112579.0
